City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Tilichiki,RU,60.47,166.1,17.92,94,0,7.29,clear sky
295,Kaitangata,NZ,-46.28,169.85,50.0,61,100,5.99,overcast clouds
296,Mount Vernon,US,40.91,-73.84,75.2,31,20,6.93,few clouds
297,Severo-Yeniseyskiy,RU,60.37,93.04,34.38,95,100,11.39,overcast clouds
298,Syedove,UA,47.08,38.16,48.0,100,7,8.01,clear sky
299,Vila Franca Do Campo,PT,37.72,-25.43,60.8,63,20,10.29,few clouds
300,Dawlatabad,AF,36.41,64.91,59.54,30,61,4.0,broken clouds
301,Clyde River,CA,70.47,-68.59,-5.8,83,20,4.7,few clouds
302,Asfi,MA,32.3,-9.24,66.42,77,42,4.68,scattered clouds
303,Bandarbeyla,SO,9.49,50.81,76.48,85,51,14.92,broken clouds
304,Petropavlovka,RU,50.61,105.32,22.23,88,59,3.78,broken clouds
305,Aquiraz,BR,-3.9,-38.39,84.2,70,20,13.87,few clouds
306,Lekoni,GA,-1.58,14.26,74.68,85,0,2.57,light rain
307,Coxim,BR,-18.51,-54.76,97.97,26,82,9.01,broken clouds
308,Kosh-Agach,RU,50.0,88.67,16.77,89,18,1.43,few clouds
309,Narsaq,GL,60.92,-46.05,30.2,74,75,3.36,broken clouds
310,Deniliquin,AU,-35.53,144.97,50.95,76,0,7.49,clear sky
311,Batemans Bay,AU,-35.72,150.18,50.0,86,0,4.41,clear sky
312,Ostersund,SE,63.18,14.64,39.99,80,80,9.17,broken clouds
313,Cap Malheureux,MU,-19.98,57.61,71.01,75,9,3.0,clear sky
314,Meiganga,CM,6.52,14.3,68.16,53,100,4.45,overcast clouds
315,Kalabo,ZM,-14.97,22.68,79.93,34,0,3.31,clear sky
316,Gigmoto,PH,13.78,124.39,79.11,87,98,8.97,overcast clouds
317,Laguna,US,38.42,-121.42,60.01,47,1,4.61,clear sky
318,Sawakin,SD,19.11,37.33,82.99,70,27,5.88,light rain
319,Denpasar,ID,-8.65,115.22,76.05,82,7,3.76,clear sky
320,Rosario Oeste,BR,-14.84,-56.43,96.15,33,46,6.71,scattered clouds
321,Sistranda,NO,63.73,8.83,44.6,65,75,10.29,broken clouds
322,Aripuana,BR,-9.17,-60.63,93.79,41,88,2.95,overcast clouds
323,Nazas,MX,25.23,-104.13,80.85,17,0,4.14,clear sky
324,Ambalavao,MG,-21.83,46.93,67.8,86,98,3.44,overcast clouds
325,Palmer,US,42.16,-72.33,77.0,31,40,6.93,scattered clouds
326,Muzhi,RU,65.37,64.67,28.87,99,99,0.94,overcast clouds
327,Verkhnyaya Inta,RU,65.98,60.31,29.53,98,100,9.62,overcast clouds
328,Arraial Do Cabo,BR,-22.97,-42.03,75.2,69,75,9.17,broken clouds
329,Korla,CN,41.76,86.15,36.18,69,0,2.89,clear sky
330,Anadyr,RU,64.75,177.48,19.4,92,75,6.71,light snow
331,Schwarzenbek,DE,53.5,10.48,43.0,94,20,1.72,few clouds
332,Araouane,ML,18.9,-3.53,85.59,13,0,9.46,clear sky
333,Trincomalee,LK,8.57,81.23,82.15,79,20,8.48,moderate rain
334,Kuala Terengganu,MY,5.33,103.14,78.8,94,40,3.24,heavy intensity rain
335,Tabou,CI,4.42,-7.35,79.03,85,85,5.48,overcast clouds
336,Vaitape,PF,-16.52,-151.75,79.75,78,77,12.48,broken clouds
337,Bubaque,GW,11.28,-15.83,85.19,75,1,13.69,clear sky
338,Mecca,SA,21.43,39.83,77.74,64,9,3.15,clear sky
339,Beringovskiy,RU,63.05,179.32,28.04,87,17,6.15,few clouds
340,Biryusinsk,RU,55.96,97.82,37.85,94,100,8.61,light rain
341,Egvekinot,RU,66.32,-179.17,22.05,98,100,4.79,light snow
342,Yar-Sale,RU,66.83,70.83,28.15,99,98,2.37,overcast clouds
343,Jalu,LY,29.03,21.55,65.3,63,0,13.62,clear sky
344,Shahreza,IR,32.03,51.88,46.13,49,100,4.97,overcast clouds
345,Tigil,RU,57.8,158.67,26.28,93,92,5.21,overcast clouds
346,Jumla,NP,29.27,82.18,40.91,55,0,3.4,clear sky
347,Burns Lake,CA,54.23,-125.75,30.2,54,0,6.93,clear sky
348,Rio Gallegos,AR,-51.62,-69.22,68.0,30,40,17.22,scattered clouds
349,Baghdad,IQ,33.34,44.4,71.6,46,0,10.29,clear sky
350,Solnechnyy,RU,50.72,136.63,19.38,87,100,5.84,overcast clouds
351,Kologriv,RU,58.83,44.32,34.41,90,83,8.14,broken clouds
352,Yumen,CN,40.28,97.2,28.06,84,39,1.74,scattered clouds
353,Westport,US,41.14,-73.36,73.0,52,1,6.93,clear sky
354,Vostok,RU,46.49,135.88,21.31,99,99,2.24,overcast clouds
355,Birnin Kebbi,NG,12.45,4.2,78.85,18,0,7.25,clear sky
356,Sola,VU,-13.88,167.55,81.37,82,84,14.94,light rain
357,Mbandaka,CD,0.05,18.26,73.18,90,100,1.05,overcast clouds
358,Touros,BR,-5.2,-35.46,84.2,70,40,13.87,scattered clouds
359,Caidian,CN,30.58,114.03,51.8,76,0,6.58,clear sky
360,Dali,CN,25.7,100.18,48.97,72,0,1.5,clear sky
361,San Carlos,VE,9.66,-68.58,86.04,67,78,2.57,broken clouds
362,Kingsville,US,27.52,-97.86,81.0,57,20,3.36,few clouds
